date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:53	395/395	---M--	200	added ('OK')	image/gif	etag:%222087d7f7-18b-4f858813e5900%22	http://www.abcphil.de/assets/images/autogen/Tao..._Hp3.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Tao..._Hp3.gif	(from http://www.abcphil.de/html/tao___.html)
19:36:53	166743/166743	U-----	200	untouched ('OK')	text/html	etag:%2222fd1cd9-28b57-50206ee24c600%22	http://textea.phil-splitter.com/html/die_komodie.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/die_komodie.html	(from http://textea.phil-splitter.com/)
19:36:53	218/218	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2018:36:47%20GMT	http://www.abcphil.de/html/Tao..._HRp4.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/Tao..._HRp4.gif	(from http://www.abcphil.de/html/tao___.html)
19:36:54	1642/1642	U-----	200	untouched ('')	image/gif	etag:%2225e1b1a9-66a-4ef3c08d38a00%22	http://textea.phil-splitter.com/assets/images/autogen/Die-Kom-die_Nregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Die-Kom-die_Nregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:54	238/238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2018:36:47%20GMT	http://abcphil.phil-splitter.com/html/martin_buber_schopfungsgeschic.html	B:/Phil%20Splitter/Phil%20Splitter/abcphil.phil-splitter.com/html/martin_buber_schopfungsgeschic.221.delayed	(from http://www.abcphil.de/html/tao___.html)
19:36:54	1651/1651	U-----	200	untouched ('')	image/gif	etag:%2225e1b1a8-673-4ef3c08d38a00%22	http://textea.phil-splitter.com/assets/images/autogen/Die-Kom-die_NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Die-Kom-die_NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:54	158686/158686	U-----	200	untouched ('OK')	text/html	etag:%222301c7b9-26bde-50206ec980b80%22	http://textea.phil-splitter.com/html/_antike_-_moderne_dramatische_poesie.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/_antike_-_moderne_dramatische_poesie.html	(from http://textea.phil-splitter.com/)
19:36:54	120760/120760	---M--	200	added ('OK')	image/jpeg	etag:%22234ce25f-1d7b8-4f858813e5900%22	http://www.abcphil.de/assets/images/autogen/hitler-jugend.jpg	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/hitler-jugend.jpg	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:54	1873/1873	U-----	200	untouched ('')	image/gif	etag:%22233fcf8c-751-4ef3c08a5c340%22	http://textea.phil-splitter.com/assets/images/autogen/-antike---moderne-dramatische-Nregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-antike---moderne-dramatische-Nregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:55	752/752	---M--	200	added ('OK')	image/gif	etag:%2221dfdcf9-2f0-4f85882510180%22	http://www.abcphil.de/assets/images/autogen/Sein-oder-Nichtsein-_Hp3.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Sein-oder-Nichtsein-_Hp3.gif	(from http://www.abcphil.de/html/sein_oder_nichtsein-.html)
19:36:55	1955/1955	U-----	200	untouched ('')	image/gif	etag:%22233fcf8b-7a3-4ef3c08a5c340%22	http://textea.phil-splitter.com/assets/images/autogen/-antike---moderne-dramatische-NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-antike---moderne-dramatische-NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:55	162193/162193	U-----	200	untouched ('OK')	text/html	etag:%222560fc30-27991-50206e899b4c0%22	http://textea.phil-splitter.com/html/_entwicklung_der_dramatischen_poesie_.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/_entwicklung_der_dramatischen_poesie_.html	(from http://textea.phil-splitter.com/)
19:36:55	232/232	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2018:36:49%20GMT	http://www.abcphil.de/html/Sein-oder-Nichtsein-_HRp4.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/Sein-oder-Nichtsein-_HRp4.gif	(from http://www.abcphil.de/html/sein_oder_nichtsein-.html)
